name,latitude,longitude,category,nearest_metro,area_hint
"Ganesh Temple",12.9716,77.5946,religious,"Cubbon Park Metro","CBD temple zone"
"Old Bus Stand",12.9750,77.5990,transport,"MG Road Metro","Central Bengaluru transit pocket"
"City Mall",12.9690,77.6000,shopping,"Trinity Metro","Shopping cluster"
"Government School",12.9740,77.5920,education,"Dr. B. R. Ambedkar Station Vidhana Soudha Metro","Public institution belt"
"Apollo Pharmacy",12.9705,77.5965,medical,"MG Road Metro","Medical retail near CBD"
"Metro Station",12.9735,77.6010,transport,"MG Road Metro","Generic metro reference"
"Mantri Commercio Tower-A, Marathahalli - Sarjapur Outer Ring Rd, Kariyammana Agrahara, Bellandur, Bengaluru, Karnataka 560103",12.9277,77.6784,office,"Bellandur Road Railway Station","ORR office corridor"
"Nitte University Campus, 6429, NITTE Meenakshi College Rd, BSF Campus, Yelahanka, Bengaluru, Govindapura, Karnataka 560064",13.1063,77.5951,education,"Yelahanka Railway Station","NMIT/NITTE education belt in Yelahanka"
"NMIT (Nitte Meenakshi Institute of Technology), Yelahanka",13.1287,77.5871,education,"Yelahanka Railway Station","Major engineering campus in North Bengaluru"
"ADA (Aeronautical Development Agency), Vibhutipura",12.9698,77.6676,office,"Baiyappanahalli Metro","Defense and aerospace office zone"
"Ecospace Business Park",12.9256,77.6850,office,"Bellandur Road Railway Station","ORR tech park cluster"
"RMZ Ecoworld",12.9279,77.6915,office,"Bellandur Road Railway Station","ORR tech offices"
"Phoenix Marketcity Whitefield",12.9954,77.6960,shopping,"KR Puram Metro","Whitefield retail hub"
"Forum Mall Koramangala",12.9352,77.6245,shopping,"Trinity Metro","Koramangala commercial zone"
"Majestic Bus Station Bengaluru",12.9774,77.5725,transport,"Nadaprabhu Kempegowda Station, Majestic Metro","Intercity bus interchange"
"Kempegowda International Airport T1",13.1986,77.7066,transport,"N/A","Airport terminal area"
"Manyata Tech Park",13.0499,77.6209,office,"Nagawara Metro","North Bengaluru IT corridor"
"Bellandur Lake Junction",12.9320,77.6762,landmark,"Bellandur Road Railway Station","Bellandur traffic junction"
"Iblur Junction",12.9177,77.6760,landmark,"Bellandur Road Railway Station","ORR-Sarjapur connector"
"Silk Board Junction",12.9176,77.6228,transport,"Silk Institute Metro","Major traffic interchange"
"KR Puram Railway Station",13.0076,77.6965,transport,"KR Puram Metro","East Bengaluru rail hub"
"Yelahanka New Town Bus Stand",13.1005,77.5963,transport,"Yelahanka Railway Station","Yelahanka core transit"
"Hebbal Flyover",13.0358,77.5970,landmark,"Nagawara Metro","Airport corridor junction"
